%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1746525948521339598,241,1746525948520745515,end_effector_link,0.2511827985457097,0.0011851098503333243,-0.07646763315990002,0.007622699827458768,-0.9727226500190197,-0.020124434501491293,0.23097088068263477
1746525948621038068,242,1746525948620487451,end_effector_link,0.2511742724311039,0.0018301819957905058,-0.0764540458981991,0.008468110044655188,-0.9727356194671827,-0.01918724348132387,0.23096656775311902
1746525948720983623,243,1746525948720521688,end_effector_link,0.25103903130857474,0.0022093911392520927,-0.07606913592259051,0.009236897307497787,-0.9729048411584469,-0.019037343062039445,0.2302355953099484
1746525948820938033,244,1746525948820531368,end_effector_link,0.25103083302772133,0.0029979482121419857,-0.07606836942840417,0.011475497793787473,-0.9728810118261106,-0.018860748917891593,0.23025012905282882
1746525948923112026,245,1746525948920764923,end_effector_link,0.25100912786844726,0.003920898110408257,-0.07604162428194622,0.013165539734407802,-0.972897863603575,-0.017340557854733853,0.23020799424083307
1746525949020748453,246,1746525949020397424,end_effector_link,0.25099168574285247,0.004458831753270747,-0.07601646398710168,0.014109409463662676,-0.9729206382677262,-0.015996856190916117,0.23015311596698632
1746525949121199408,247,1746525949120615243,end_effector_link,0.2507073725282337,0.004983327681692263,-0.07522352818344018,0.015093578016019658,-0.9732904834649371,-0.014705483091658719,0.22860789021007974
1746525949221220983,248,1746525949220735788,end_effector_link,0.2503154807381385,0.004089180512863115,-0.07405948409701857,0.0137559997488446,-0.9738483579933811,-0.01471789020825743,0.22630406936757222
1746525949320977340,249,1746525949320595026,end_effector_link,0.25033043503323,0.005769634308818723,-0.0738883304982478,0.016218901659987666,-0.9738408174445565,-0.01267976560166056,0.2262967809142409
1746525949421036516,250,1746525949420560598,end_effector_link,0.25010032599871374,0.006793248021182,-0.07361825348094553,0.016588184515049783,-0.9740616894571572,-0.009658680059494938,0.2254669979528513
1746525949520982365,251,1746525949520495414,end_effector_link,0.2500678363623723,0.007714997865698127,-0.07360165480164298,0.018272900441508907,-0.9740552286273156,-0.008137299841787455,0.2254247037139615
1746525949620927240,252,1746525949620471477,end_effector_link,0.25040691720580605,0.007228178358589005,-0.07421157375754453,0.01686729712282587,-0.973745143946448,-0.007677669404472071,0.22688530653393585
1746525949720995698,253,1746525949720652818,end_effector_link,0.2504756253665182,0.007505907779896762,-0.07473869877732064,0.017674403038685307,-0.9735672321417558,-0.007065198941967784,0.22760611358436228
1746525949820693762,254,1746525949820446729,end_effector_link,0.25125929795057667,0.007948850663220645,-0.07704791698413532,0.019082141750502803,-0.9724842369531987,-0.006926526602903703,0.23208253698412626
1746525949920972402,255,1746525949920453071,end_effector_link,0.25129030203232416,0.007169185981207713,-0.07707011996904627,0.01878060567555476,-0.9724572304858433,-0.009206744821521173,0.23214103380500004
1746525950021022484,256,1746525950020470857,end_effector_link,0.25103743443378596,0.006895988061871503,-0.07630760250006904,0.018713338942560012,-0.9728008404749482,-0.010013657963746266,0.2306687286370653
1746525950122478568,257,1746525950120818614,end_effector_link,0.25038916284051965,0.006112400026325595,-0.07438401173646111,0.01804950798840846,-0.9736893312910772,-0.010652829153003042,0.22691368099422196
1746525950221113134,258,1746525950220825672,end_effector_link,0.250176819760697,0.007144604430944493,-0.07365389523396292,0.018470325521050317,-0.973899979472621,-0.00763427411201419,0.22609598607042278
1746525950320977368,259,1746525950320592880,end_effector_link,0.250176819760697,0.007144604430944493,-0.07365389523396292,0.018470325521050317,-0.973899979472621,-0.00763427411201419,0.22609598607042278
1746525950420700918,260,1746525950420399665,end_effector_link,0.2500796324419783,0.007139138067942452,-0.07358581758206337,0.01846340071963376,-0.9740730677423324,-0.007653021547095451,0.2253490465790937
1746525950522626817,261,1746525950520659685,end_effector_link,0.2500796324419783,0.007139138067942452,-0.07358581758206337,0.01846340071963376,-0.9740730677423324,-0.007653021547095451,0.2253490465790937
1746525950621193300,262,1746525950620854854,end_effector_link,0.2502155772709988,0.007145607584775316,-0.0739696273988217,0.018449316032239434,-0.9739004146148874,-0.007631650496430306,0.22609591562342052
1746525950720738644,263,1746525950720454931,end_effector_link,0.2500796324419783,0.007139138067942452,-0.07358581758206337,0.01846340071963376,-0.9740730677423324,-0.007653021547095451,0.2253490465790937
1746525950821071192,264,1746525950820564270,end_effector_link,0.25050327016213997,0.0071643802557371196,-0.07427161713584172,0.018463129033516244,-0.9735525194899356,-0.007594174390697785,0.22758939601047665
1746525950923241718,265,1746525950920886754,end_effector_link,0.2502262441049659,0.006761773283457128,-0.07396962739882186,0.017702338111948605,-0.9739142786069407,-0.007805061700695449,0.22608999571573474
1746525951020822505,266,1746525951020562171,end_effector_link,0.2502155772709988,0.007145607584775316,-0.0739696273988217,0.018449316032239434,-0.9739004146148874,-0.007631650496430306,0.22609591562342052
1746525951120700974,267,1746525951120357275,end_effector_link,0.250176819760697,0.007144604430944493,-0.07365389523396292,0.018470325521050317,-0.973899979472621,-0.00763427411201419,0.22609598607042278
1746525951220992857,268,1746525951220573425,end_effector_link,0.2500796324419783,0.007139138067942452,-0.07358581758206337,0.01846340071963376,-0.9740730677423324,-0.007653021547095451,0.2253490465790937
